,subdomain,IPv4,IPv6
0,wm.sjtu.edu.cn.,111.186.57.249,2001:da8:8000:1:0:305:2:48
1,iac.sjtu.edu.cn.,111.186.58.66,2001:da8:8000:1:0:384:2:48
2,math.sjtu.edu.cn.,111.186.59.124,2001:da8:8000:1:0:395:2:48
3,sensor.sjtu.edu.cn.,202.120.37.216,2001:da8:8000:1:0:1150:2:48
4,p2p.sjtu.edu.cn.,202.120.2.1,2001:da8:8000:1:0:482:2:48
5,quantum.sjtu.edu.cn.,202.120.63.153,2001:da8:8000:1:0:1540:2:48
6,history.sjtu.edu.cn.,202.120.35.173,2001:da8:8000:1:0:573:2:48
7,jin.sjtu.edu.cn.,202.120.48.243,2001:da8:8000:1:0:1263:2:48
8,oc.sjtu.edu.cn.,202.120.35.235,2001:da8:8000:6fc0:102:1006:2:48
9,collect.sjtu.edu.cn.,202.120.35.180,2001:da8:8000:1:0:1667:2:48
10,ep.sjtu.edu.cn.,202.120.1.3,2001:da8:8000:1:0:454:2:48
11,development.sjtu.edu.cn.,202.120.45.116,2001:da8:8000:1:0:1239:2:48
12,zy.sjtu.edu.cn.,202.120.35.199,2001:da8:8000:1:0:999:2:48
13,ist.sjtu.edu.cn.,202.120.63.153,2001:da8:8000:1:0:1481:2:48
14,training.sjtu.edu.cn.,202.120.35.201,2001:da8:8000:1:0:1055:2:48
15,sa.sjtu.edu.cn.,202.120.35.195,2001:da8:8000:6fc0:102:1002:2:48
16,visit.sjtu.edu.cn.,111.186.57.141,2001:da8:8000:1:0:279:2:48
17,vision.sjtu.edu.cn.,202.120.35.199,2001:da8:8000:1:0:1003:2:48
18,sports.sjtu.edu.cn.,202.120.35.186,2001:da8:8000:1:0:807:2:48
19,bbs.sjtu.edu.cn.,202.120.58.161,2001:da8:8000:6003::161
20,robotics.sjtu.edu.cn.,202.120.63.151,2001:da8:8000:1:0:1339:2:48
21,systems.sjtu.edu.cn.,202.120.41.69,2001:da8:8000:1:0:1209:2:48
22,message.sjtu.edu.cn.,202.120.35.180,2001:da8:8000:6fc0:102:1009:2:48
23,ant.sjtu.edu.cn.,202.120.36.224,2001:da8:8000:1:0:1144:2:48
24,ins.sjtu.edu.cn.,202.120.35.191,2001:da8:8000:1:0:879:2:48
25,si.sjtu.edu.cn.,202.121.181.108,2001:da8:8000:1:0:1626:2:48
26,min.sjtu.edu.cn.,202.120.35.173,2001:da8:8000:1:0:1364:2:48
27,zoom.sjtu.edu.cn.,202.120.35.193,2001:da8:8000:6fc0:102:1018:2:48
28,join.sjtu.edu.cn.,202.120.35.201,2001:da8:8000:1:0:1098:2:48
29,apply.sjtu.edu.cn.,202.120.35.170,2001:da8:8000:1:0:562:2:48
30,ee.sjtu.edu.cn.,202.120.35.199,2001:da8:8000:1:0:933:2:48
31,v.sjtu.edu.cn.,202.120.35.241,2001:da8:8000:6fc0:102:1030:2:48
32,bat.sjtu.edu.cn.,202.120.63.153,2001:da8:8000:1:0:1598:2:48
33,magic.sjtu.edu.cn.,202.120.35.199,2001:da8:8000:1:0:995:2:48
34,developer.sjtu.edu.cn.,202.120.35.195,2001:da8:8000:1:0:299:2:48
